ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"212997298706333696"|Dputamadre|"team"|"7184"||""|"F-Se! o Facebook está em quase em peso a Bater no @Cristiano ~ Parecem cães que não largam o osso (o Messi). #Portugal #Euro2012"|"F-Se! o Facebook está em quase em peso a Bater no @Cristiano ~ Parecem cães que não largam o osso (o Messi). #Portugal #Euro2012"
"212997269715288064"|pipinhapereira|"team"|"7184"||""|"Orgulhosa por ter sido um jogador do PORTO a ter marcado o golo decisivo do jogo de hoje! : ) #Portugal #euro2012"|"Orgulhosa por ter sido um jogador do PORTO a ter marcado o golo decisivo do jogo de hoje! : ) #Portugal #euro2012"
"212996081422843904"|tiagoxas|"team"|"7184"||""|"Manuel Jose é uma pessoa com graves problemas psicologicos... #portugal #euro2012"|"Manuel Jose é uma pessoa com graves problemas psicologicos... #portugal #euro2012"
"212993844239810562"|eCalandula|"team"|"7165"||""|"Gomez 23' e 38' Golaços, Gomez #homemGolo no #euro2012 intervalo #Holanda 0-2 #Alemanha. o pc do supersport colou kkk"|"Gomez 23' e 38' Golaços, Gomez #homemGolo no #euro2012 intervalo #Holanda 0-2 #Alemanha. o pc do supersport colou kkk"
"212993844239810562"|eCalandula|"team"|"7180"||""|"Gomez 23' e 38' Golaços, Gomez #homemGolo no #euro2012 intervalo #Holanda 0-2 #Alemanha. o pc do supersport colou kkk"|"Gomez 23' e 38' Golaços, Gomez #homemGolo no #euro2012 intervalo #Holanda 0-2 #Alemanha. o pc do supersport colou kkk"
"212993221159161856"|ines_felix|"team"|"7184"||""|"#FAIL #Euro2012 #Portugal #polvo http://t.co/8FzhtWfJ"|"#FAIL #Euro2012 #Portugal #polvo http://t.co/8FzhtWfJ"
"212991676338286592"|ifvmota|"player"|"3432"||""|"Obrigado grande #Varela #Euro2012 #like http://t.co/EGRURERO"|"Obrigado grande #Varela #Euro2012 #like http://t.co/EGRURERO"
"212991625952116736"|ByDerciolol|"player"|"6107"||""|"#Gomez já é melhor marcaDor do #EurO2012 (Bis hj no Alemanha 2x0 Holanda) intervalo"|"#Gomez já é melhor marcaDor do #EurO2012 (Bis hj no Alemanha 2x0 Holanda) intervalo"
"212990085610733568"|nunoantunes|"team"|"7184"||""|"Então o vice-campeão do mundo apanha no saco de todos? Espero que de #portugal tambem! #VenhaAHolanda #ForcaPortugal #JoguemABola #Euro2012"|"Então o vice-campeão do mundo apanha no saco de todos? Espero que de #portugal tambem! #VenhaAHolanda #ForcaPortugal #JoguemABola #Euro2012"
"212989752750768128"|kesland|"team"|"7184"||""|"#EURO2012 Ups! The best result for #Portugal is a #German win."|"#EURO2012 Ups! The best result for #Portugal is a #German win."
"212989018105856000"|PatriciaaPinto|"team"|"7180"||""|"Eh que jogo. #EURO2012 #Alemanha #Holanda"|"Eh que jogo. #EURO2012 #Alemanha #Holanda"
"212989018105856000"|PatriciaaPinto|"team"|"7165"||""|"Eh que jogo. #EURO2012 #Alemanha #Holanda"|"Eh que jogo. #EURO2012 #Alemanha #Holanda"
"212988633022599168"|RubenRoque|"team"|"7165"||""|"Gomez a fazer o Bis que golo. Este Gomez é incrível. #Alemanha #Euro2012"|"Gomez a fazer o Bis que golo. Este Gomez é incrível. #Alemanha #Euro2012"
"212988190603227137"|itsanalucia|"team"|"7184"||""|"RT @Ritita7: Acho que Portugal trabalha bem sobre pressão. Este jogo ou era o tudo ou o nada. Arriscamos o tudo. #Portugal #Euro2012"|"RT @Ritita7: Acho que Portugal trabalha bem sobre pressão. Este jogo ou era o tudo ou o nada. Arriscamos o tudo. #Portugal #Euro2012"
"212988094322970625"|Ritita7|"team"|"7184"||""|"Acho que Portugal trabalha bem sobre pressão. Este jogo ou era o tudo ou o nada. Arriscamos o tudo. #Portugal #Euro2012"|"Acho que Portugal trabalha bem sobre pressão. Este jogo ou era o tudo ou o nada. Arriscamos o tudo. #Portugal #Euro2012"
"212987891280916480"|VArede15|"team"|"7184"||""|"Para que não digam que o homem foi logo a correr para o balneario http://t.co/UAIxyM4i #Euro2012 #Portugal"|"Para que não digam que o homem foi logo a correr para o balneario http://t.co/UAIxyM4i #Euro2012 #Portugal"
"212987580482981888"|infilipac|"team"|"7165"||""|"Go Mannshaft ♥ #Germany #Euro2012"|"Go Mannshaft ♥ #Germany #Euro2012"
"212987579623153665"|zecompadre|"team"|"7165"||""|"#euro2012 #Holanda vs #Alemanha #online http://t.co/I3e88UzS"|"#euro2012 #Holanda vs #Alemanha #online http://t.co/I3e88UzS"
"212987579623153665"|zecompadre|"team"|"7180"||""|"#euro2012 #Holanda vs #Alemanha #online http://t.co/I3e88UzS"|"#euro2012 #Holanda vs #Alemanha #online http://t.co/I3e88UzS"
"212987044065062914"|Dputamadre|"team"|"7184"||""|"Ai ai ... O Cristiano ainda vai acabar a ser nomeado o maior Jogador amador do mundo :)) #Maldade #VenenoTuga #Euro2012 #Portugal é Cruel :)"|"Ai ai ... O Cristiano ainda vai acabar a ser nomeado o maior Jogador amador do mundo :)) #Maldade #VenenoTuga #Euro2012 #Portugal é Cruel :)"
"212986161302478849"|Bresc10|"team"|"7184"||""|"Eu ainda acredito e você? #Portugal #euro2012"|"Eu ainda acredito e você? #Portugal #euro2012"
"212985784624615425"|catarinab7|"team"|"7184"||""|"RT @MarieMagdaleneP: 11 por todos, todos por 11 #Euro2012 #Portugal"|"RT @MarieMagdaleneP: 11 por todos, todos por 11 #Euro2012 #Portugal"
"212985684116516865"|MarieMagdaleneP|"team"|"7184"||""|"11 por todos, todos por 11 #Euro2012 #Portugal"|"11 por todos, todos por 11 #Euro2012 #Portugal"
"212985138877960195"|jay_prosports|"player"|"6107"||""|"What a turn and finish by super mario #gomez #euro2012"|"What a turn and finish by super mario #gomez #euro2012"
"212984921751433216"|Bresc10|"team"|"7184"||""|"Que sofrimento durante o Portugal-Dinamarca. Mas já Pessoa dizia que para chegar à glória é preciso sofrimento. #Portugal #euro2012"|"Que sofrimento durante o Portugal-Dinamarca. Mas já Pessoa dizia que para chegar à glória é preciso sofrimento. #Portugal #euro2012"
"212984202407313409"|CatarinaPs_19|"team"|"7184"||""|"Até os comemos!! #Portugal #Euro2012"|"Até os comemos!! #Portugal #Euro2012"
"212984136208625664"|CatarinaPs_19|"team"|"7184"||""|"GANHAMOS CARALHO!!! #Portugal 3 - 2 Dinamarca #Euro2012 http://t.co/8uIx0PXb"|"GANHAMOS CARALHO!!! #Portugal 3 - 2 Dinamarca #Euro2012 http://t.co/8uIx0PXb"
"212981769320939522"|SofsCostaLima|"team"|"7184"||""|"#Portugal #euro2012 #postigolo #11portodos http://t.co/TG6rWP5n"|"#Portugal #euro2012 #postigolo #11portodos http://t.co/TG6rWP5n"
"212980613475610624"|flemingpt|"team"|"7184"||""|"In Concreto: Carta de José Mourinho à selecção #mourinho #portugal #euro2012 http://t.co/JsmuXpdb"|"In Concreto: Carta de José Mourinho à selecção #mourinho #portugal #euro2012 http://t.co/JsmuXpdb"
"212980539760721922"|Ritita7|"team"|"7184"||""|"Bem, que jogo de sofrimento. Um jogo cheio de emoções! #Portugal #Euro2012"|"Bem, que jogo de sofrimento. Um jogo cheio de emoções! #Portugal #Euro2012"
"212980457317478400"|Razzo|"team"|"7158"||""|"RT @broncochase: #Portugal vs. #Denmark was incredible. Best game of #Euro2012 so far. #GroupOfDeath is living up to its name. #mansgame"|"RT @broncochase: #Portugal vs. #Denmark was incredible. Best game of #Euro2012 so far. #GroupOfDeath is living up to its name. #mansgame"
"212980457317478400"|Razzo|"team"|"7184"||""|"RT @broncochase: #Portugal vs. #Denmark was incredible. Best game of #Euro2012 so far. #GroupOfDeath is living up to its name. #mansgame"|"RT @broncochase: #Portugal vs. #Denmark was incredible. Best game of #Euro2012 so far. #GroupOfDeath is living up to its name. #mansgame"
"212979710060277760"|cun45|"team"|"7184"||""|"#RT@cun245 EA SPORTS FIFA@EASPORTSFIFA  FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012 #WFAN #Soccer #Vancouver"|"#RT@cun245 EA SPORTS FIFA@EASPORTSFIFA  FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012 #WFAN #Soccer #Vancouver"
"212979710060277760"|cun45|"team"|"7158"||""|"#RT@cun245 EA SPORTS FIFA@EASPORTSFIFA  FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012 #WFAN #Soccer #Vancouver"|"#RT@cun245 EA SPORTS FIFA@EASPORTSFIFA  FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012 #WFAN #Soccer #Vancouver"
"212979432313466881"|cun45|"team"|"7184"||""|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"
"212979432313466881"|cun45|"team"|"7158"||""|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"
"212979379507183616"|cun45|"team"|"7184"||""|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"
"212979379507183616"|cun45|"team"|"7158"||""|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"|"RT @EASPORTSFIFA: FT. #Denmark 2 - 3 #Portugal! What a match! RT this if you love #Euro2012"
"212978881471324160"|anarita21|"player"|"198"||""|"Acho tão mau o que estão a falar do Ronaldo #CR7 ... 3-2 for Portugal #Euro2012"|"Acho tão mau o que estão a falar do Ronaldo #CR7 ... 3-2 for Portugal #Euro2012"
"212978828929273856"|fcwilson|"team"|"7180"||""|"E agora #Alemanha vs #Holanda. #Euro2012 #EuroRecord"|"E agora #Alemanha vs #Holanda. #Euro2012 #EuroRecord"
"212978828929273856"|fcwilson|"team"|"7165"||""|"E agora #Alemanha vs #Holanda. #Euro2012 #EuroRecord"|"E agora #Alemanha vs #Holanda. #Euro2012 #EuroRecord"
